"S.No","File Code","Asset family linked","Components","Services linked"
"294","75k-PIN-48IN-SHV-TOOL","wl_75k-PIN-48IN-SHV-TOOL","0","Wireline"
"295","7J46RTZ","wl_7J46RTZ","0","Wireline"
"296","A210","wl_A210","0","Wireline"
"297","A228","wl_A228","0","Wireline"
"298","A229-XR","wl_A229-XR","0","Wireline"
"299","A29CHRP","CTDH - ACHR, A29CHRP","23","Sustaining|OMT Default"
"300","A29LMR","CTDH - A29LMR Load Module","24","OMT Default|Sustaining"
"301","A29MHR","CTDH - A29MHR, A29MHRP","17","OMT Default|Sustaining"
"302","A29MHRP","CTDH - A29MHR, A29MHRP","17","OMT Default|Sustaining"
"303","A29MXRP","CTDH - A29MXRP","23","OMT Default|Sustaining"
"304","A475M","PowerPak","20","D&M"
"305","aa","955 Cementing Blender Float","25","Sustaining|OMT Default|OMT Test|Cement"
"306","AAP-C1142","wl_AAP-C1142","0","Wireline"
"307","abc","Publish1","1",""
"308","ABR","CTDH - ABR Battery Module","26","OMT Default|Sustaining"
"309","ABUT","wl_ABUT","0","Wireline"
"310","ACCESSORY","wl_ACCESSORY","0","Wireline"
"311","ACHR","CTDH - ACHR, A29CHRP","23","Sustaining|OMT Default"
"312","ACL-AA","wl_ACL-AA","0","Wireline"
"313","ACL-AA-TOOL","wl_ACL-AA-TOOL","0","Wireline"
"314","ACMP","wl_ACMP","0","Wireline"
"315","ACON","wl_ACON","0","Wireline"
"316","ACQG-A","ACQG|ACQG-A QA Testing","1|0","Testing|All|Shop"
"317","ACT-ECHOKE","E-Choke Actuator|Long Term Idle Equipment","6|1","MI SWACO|OMT Default|Sustaining"
"318","ACTE-C","wl_ACTE-C","0","Wireline"
"319","ACTE-CB","wl_ACTE-CB","0","Wireline"
"320","ACTM-A","wl_ACTM-A","0","Wireline"
"321","ACTM-C","wl_ACTM-C","0","Wireline"
"322","ACTS-B","wl_ACTS-B","0","Wireline"
"323","ACTS-C-TOOL","wl_ACTS-C-TOOL","0","Wireline"
"324","ADAP-AFIF","wl_ADAP-AFIF","0","Wireline"
